category,crime,gainingType,gainings,group,id,nerveUsed,nnb,outcome,status
drug_deals,cocaine,money,811,drugs,5904,8,35,success,success
drug_deals,cocaine,money,826,drugs,5905,8,35,success,success
drug_deals,cocaine,,,drugs,5906,8,35,blue,ready
drug_deals,amphetamines,,,drugs,5922,8,35,blue,ready
drug_deals,amphetamines,money,710,drugs,5927,8,35,success,success
drug_deals,cocaine,money,883,drugs,5947,8,35,success,success
other,searchtrainstation,money,8,search,5948,2,35,success,success
other,searchtrainstation,money,6,search,5949,,35,success,success
illegal_goods,dvdthriller,money,4,bootleg,5950,3,35,success,success
drug_deals,amphetamines,money,744,drugs,6134,8,35,success,success
drug_deals,amphetamines,money,656,drugs,6135,,35,success,success
drug_deals,amphetamines,,,drugs,6136,,35,blue,ready
drug_deals,amphetamines,money,718,drugs,6137,,35,success,success
drug_deals,amphetamines,money,756,drugs,6138,,35,success,success
drug_deals,amphetamines,,,drugs,6139,,35,blue,ready
drug_deals,amphetamines,money,650,drugs,6140,,35,success,success
drug_deals,amphetamines,money,738,drugs,6141,,35,success,success
drug_deals,amphetamines,money,782,drugs,6142,,35,success,success
drug_deals,amphetamines,money,715,drugs,6143,,35,success,success
drug_deals,amphetamines,money,737,drugs,6144,,35,success,success
drug_deals,amphetamines,money,732,drugs,6145,,35,success,success
drug_deals,amphetamines,money,751,drugs,6146,8,35,success,success
drug_deals,amphetamines,money,815,drugs,6147,,35,success,success
drug_deals,amphetamines,money,661,drugs,6148,,35,success,success
drug_deals,amphetamines,,,drugs,6149,,35,blue,ready
drug_deals,amphetamines,money,673,drugs,6150,,35,success,success
drug_deals,amphetamines,money,833,drugs,6151,,35,success,success
drug_deals,amphetamines,,,drugs,6152,,35,jail,error
drug_deals,amphetamines,money,759,drugs,6153,,35,success,success
drug_deals,amphetamines,,,drugs,6154,,35,blue,ready
drug_deals,amphetamines,money,847,drugs,6155,,35,success,success
drug_deals,amphetamines,money,817,drugs,6156,,35,success,success
drug_deals,amphetamines,money,769,drugs,6157,,35,success,success
drug_deals,amphetamines,money,840,drugs,6173,8,35,success,success
drug_deals,amphetamines,,,drugs,6174,,35,blue,ready
drug_deals,amphetamines,money,799,drugs,6175,,35,success,success
drug_deals,amphetamines,money,673,drugs,6176,,35,success,success
drug_deals,amphetamines,money,665,drugs,6177,,35,success,success
drug_deals,amphetamines,money,778,drugs,6178,,35,success,success
drug_deals,cocaine,money,850,drugs,6365,8,35,success,success
drug_deals,cocaine,money,760,drugs,6366,8,35,success,success
drug_deals,amphetamines,,,drugs,6367,8,35,blue,ready
drug_deals,amphetamines,money,824,drugs,6368,,35,success,success
drug_deals,amphetamines,money,662,drugs,6369,,35,success,success
drug_deals,amphetamines,money,686,drugs,6370,,35,success,success
drug_deals,amphetamines,money,728,drugs,6371,,35,success,success
drug_deals,amphetamines,,,drugs,6372,,35,blue,ready
drug_deals,amphetamines,money,672,drugs,6373,,35,success,success
drug_deals,amphetamines,money,655,drugs,6374,,35,success,success
drug_deals,amphetamines,,,drugs,6375,,35,blue,ready
drug_deals,amphetamines,money,700,drugs,6506,8,35,success,success
drug_deals,amphetamines,money,673,drugs,6507,,35,success,success
drug_deals,amphetamines,money,725,drugs,6508,,35,success,success
drug_deals,amphetamines,,,drugs,6509,,35,blue,ready
drug_deals,amphetamines,money,663,drugs,6510,,35,success,success
drug_deals,amphetamines,money,662,drugs,6511,,35,success,success
drug_deals,amphetamines,,,drugs,6512,,35,jail,error
drug_deals,amphetamines,money,766,drugs,6513,,35,success,success
drug_deals,amphetamines,money,794,drugs,6514,,35,success,success
drug_deals,amphetamines,,,drugs,6535,8,35,blue,ready
drug_deals,cocaine,money,882,drugs,6658,8,35,success,success
drug_deals,cocaine,money,800,drugs,6659,8,35,success,success
drug_deals,cocaine,money,770,drugs,6660,8,35,success,success
drug_deals,cocaine,money,801,drugs,6661,8,35,success,success
drug_deals,cocaine,money,755,drugs,6662,8,35,success,success
drug_deals,cocaine,money,764,drugs,6663,8,35,success,success
drug_deals,cocaine,money,841,drugs,6664,8,35,success,success
drug_deals,cocaine,money,805,drugs,6676,8,35,success,success
drug_deals,cocaine,money,866,drugs,6794,8,35,success,success
drug_deals,cocaine,money,872,drugs,6795,8,35,success,success
drug_deals,cocaine,money,864,drugs,6796,8,35,success,success
drug_deals,cocaine,money,897,drugs,6797,8,35,success,success
drug_deals,cocaine,money,893,drugs,6798,8,35,success,success
drug_deals,cocaine,money,821,drugs,6799,8,35,success,success
drug_deals,cocaine,money,785,drugs,6800,8,35,success,success
drug_deals,cocaine,money,877,drugs,6801,8,35,success,success
drug_deals,cocaine,money,815,drugs,6802,8,35,success,success
drug_deals,cocaine,,,drugs,6803,8,35,blue,ready
drug_deals,cocaine,,,drugs,6804,8,35,blue,ready
drug_deals,cocaine,,,drugs,6805,8,35,blue,ready
drug_deals,cocaine,money,887,drugs,6806,8,35,success,success
drug_deals,cocaine,money,750,drugs,6807,8,35,success,success
drug_deals,cocaine,money,847,drugs,6808,8,35,success,success
drug_deals,cocaine,money,820,drugs,6809,8,35,success,success
drug_deals,cocaine,money,761,drugs,6810,8,35,success,success
drug_deals,cocaine,money,833,drugs,6811,8,35,success,success
drug_deals,cocaine,money,836,drugs,6812,8,35,success,success
drug_deals,cocaine,money,869,drugs,6835,8,35,success,success
drug_deals,cocaine,,,drugs,6836,8,35,blue,ready
drug_deals,cocaine,,,drugs,6943,8,35,blue,ready
drug_deals,cocaine,money,776,drugs,6944,8,35,success,success
drug_deals,cocaine,money,789,drugs,6945,8,35,success,success
drug_deals,cocaine,money,758,drugs,6946,8,35,success,success
drug_deals,cocaine,money,753,drugs,6947,8,35,success,success
drug_deals,cocaine,money,800,drugs,6992,8,35,success,success
drug_deals,cocaine,money,859,drugs,6993,8,35,success,success
drug_deals,cocaine,money,822,drugs,6994,8,35,success,success
drug_deals,cocaine,,,drugs,6995,8,35,blue,ready
drug_deals,cocaine,money,899,drugs,6999,8,35,success,success
drug_deals,cocaine,money,837,drugs,7033,8,35,success,success
drug_deals,cocaine,money,870,drugs,7067,8,35,success,success
drug_deals,cocaine,money,837,drugs,7068,8,35,success,success
drug_deals,cocaine,money,869,drugs,7069,8,35,success,success
drug_deals,cocaine,money,851,drugs,7070,8,35,success,success
drug_deals,cocaine,money,801,drugs,7071,8,35,success,success
drug_deals,cocaine,money,826,drugs,7072,8,35,success,success
drug_deals,cocaine,money,766,drugs,7073,8,35,success,success
drug_deals,cocaine,,,drugs,7074,8,35,blue,ready
drug_deals,cocaine,money,832,drugs,7151,8,35,success,success
drug_deals,cocaine,money,763,drugs,7152,8,35,success,success
drug_deals,cocaine,money,830,drugs,7153,8,35,success,success
drug_deals,cocaine,money,851,drugs,7154,8,35,success,success
drug_deals,cocaine,money,803,drugs,7155,8,35,success,success
drug_deals,cocaine,,,drugs,7156,8,35,blue,ready
drug_deals,amphetamines,money,754,drugs,7235,8,35,success,success
drug_deals,amphetamines,money,679,drugs,7236,,35,success,success
drug_deals,amphetamines,money,695,drugs,7237,8,35,success,success
drug_deals,amphetamines,money,789,drugs,7239,,35,success,success
drug_deals,amphetamines,money,812,drugs,7240,,35,success,success
drug_deals,amphetamines,money,826,drugs,7241,,35,success,success
drug_deals,amphetamines,money,810,drugs,7242,,35,success,success
drug_deals,amphetamines,money,738,drugs,7243,,35,success,success
drug_deals,amphetamines,money,684,drugs,7244,,35,success,success
drug_deals,amphetamines,,,drugs,7245,,35,blue,ready
drug_deals,amphetamines,money,736,drugs,7246,,35,success,success
drug_deals,amphetamines,money,785,drugs,7247,,35,success,success
drug_deals,amphetamines,money,703,drugs,7248,,35,success,success
drug_deals,amphetamines,money,726,drugs,7249,,35,success,success
drug_deals,cocaine,money,759,drugs,7324,8,35,success,success
drug_deals,amphetamines,money,699,drugs,7325,8,35,success,success
drug_deals,amphetamines,money,820,drugs,7326,,35,success,success
drug_deals,amphetamines,money,823,drugs,7327,,35,success,success
drug_deals,amphetamines,money,686,drugs,7328,8,35,success,success
drug_deals,amphetamines,,,drugs,7368,8,35,jail,error
drug_deals,amphetamines,money,764,drugs,7371,,35,success,success
drug_deals,amphetamines,money,778,drugs,7372,,35,success,success
drug_deals,amphetamines,money,846,drugs,7453,8,35,success,success
drug_deals,amphetamines,money,839,drugs,7454,8,35,success,success
drug_deals,amphetamines,money,829,drugs,7455,8,35,success,success
drug_deals,amphetamines,money,774,drugs,7456,8,35,success,success
drug_deals,amphetamines,money,746,drugs,7457,8,35,success,success
drug_deals,amphetamines,,,drugs,7458,8,35,blue,ready
drug_deals,amphetamines,money,803,drugs,7481,8,35,success,success
drug_deals,amphetamines,money,804,drugs,7482,8,35,success,success
drug_deals,amphetamines,money,789,drugs,7483,8,35,success,success
drug_deals,amphetamines,money,772,drugs,7640,8,35,success,success
drug_deals,amphetamines,money,841,drugs,7641,8,35,success,success
drug_deals,amphetamines,money,837,drugs,7642,8,35,success,success
drug_deals,amphetamines,,,drugs,7643,8,35,jail,error
drug_deals,amphetamines,money,668,drugs,7648,8,35,success,success
drug_deals,amphetamines,money,824,drugs,7649,8,35,success,success
drug_deals,amphetamines,money,666,drugs,7650,8,35,success,success
drug_deals,amphetamines,,,drugs,7651,8,35,blue,ready
drug_deals,amphetamines,money,778,drugs,7664,8,35,success,success
drug_deals,amphetamines,money,784,drugs,7776,8,35,success,success
drug_deals,amphetamines,money,764,drugs,7777,8,35,success,success
drug_deals,amphetamines,,,drugs,7778,8,35,blue,ready
drug_deals,amphetamines,money,743,drugs,7779,8,35,success,success
drug_deals,amphetamines,money,840,drugs,7780,8,35,success,success
drug_deals,amphetamines,money,768,drugs,7781,8,35,success,success
drug_deals,amphetamines,money,650,drugs,7782,8,35,success,success
drug_deals,amphetamines,money,740,drugs,7783,8,35,success,success
drug_deals,amphetamines,money,703,drugs,7845,8,35,success,success
drug_deals,amphetamines,money,668,drugs,7846,8,35,success,success
